"order_id","order_date","ship_mode","customer_id","product_id","sales","quantity","discount","product","profit"
1001,"2024-10-05","standard","C001","P001",3000,1,"0.10","sedan",2700
1002,"2024-01-07","Express","C002","P002",1500,2,"0.05","SUV",1425
1003,"2024-01-08","Standard","C003","P003",4500,1,"0.15","Coupe",3825
1004,"2024-01-09","Express","C004","P004",5000,1,"0.20","Convertible",4000
1005,"2024-01-10","Standard","C005","P005",2800,3,"0.10","Hatchback",2520
1006,"2024-01-12","Express","C006","P006",3400,2,"0.08","Sedan",3128
1007,"2024-01-14","Standard","C007","P007",4200,1,"0.12","SUV",3696
1008,"2024-01-15","Express","C008","P008",4800,1,"0.18","Coupe",3936
1009,"2024-01-16","Standard","C009","P009",2900,2,"0.05","Convertible",2755
1010,"2024-01-17","Express","C010","P010",3500,1,"0.10","Hatchback",3150
1011,"2024-01-18","Standard","C011","P011",6000,1,"0.25","Sedan",4500
1012,"2024-01-19","Express","C012","P012",3100,2,"0.15","SUV",2635
1013,"2024-01-20","Standard","C013","P013",3700,1,"0.10","Coupe",3330
1014,"2024-01-22","Express","C014","P014",4200,1,"0.20","Convertible",3360
1015,"2024-01-23","Standard","C015","P015",2900,2,"0.08","Hatchback",2668
1016,"2024-01-24","Express","C016","P016",4300,1,"0.12","Sedan",3784
1017,"2024-01-25","Standard","C017","P017",3100,3,"0.05","SUV",2955
1018,"2024-01-26","Express","C018","P018",4000,1,"0.15","Coupe",3400
1019,"2024-01-27","Standard","C019","P019",2900,2,"0.10","Convertible",2610
1020,"2024-01-28","Express","C020","P020",3100,1,"0.20","Hatchback",2480
1021,"2024-01-29","Standard","C021","P021",5500,1,"0.25","Sedan",4125
1022,"2024-01-30","Express","C022","P022",3600,2,"0.12","SUV",3168
1023,"2024-02-01","Standard","C023","P023",4200,1,"0.15","Coupe",3570
1024,"2024-02-02","Express","C024","P024",4700,1,"0.18","Convertible",3844
1025,"2024-02-03","Standard","C025","P025",3000,2,"0.05","Hatchback",2850
1026,"2024-02-04","Express","C026","P026",3800,1,"0.10","Sedan",3420
1027,"2024-02-05","Standard","C027","P027",3400,2,"0.12","SUV",2992
1028,"2024-02-06","Express","C028","P028",4200,1,"0.15","Coupe",3570
1029,"2024-02-07","Standard","C029","P029",3100,3,"0.08","Convertible",2854
1030,"2024-02-08","Express","C030","P030",3500,1,"0.20","Hatchback",2800
1031,"2024-02-09","Standard","C031","P031",6000,1,"0.25","Sedan",4500
1032,"2024-02-10","Express","C032","P032",3100,2,"0.10","SUV",2790
1033,"2024-02-11","Standard","C033","P033",3800,1,"0.12","Coupe",3344
1034,"2024-02-12","Express","C034","P034",4200,1,"0.15","Convertible",3570
1035,"2024-02-13","Standard","C035","P035",3000,2,"0.05","Hatchback",2850
1036,"2024-02-14","Express","C036","P036",3500,1,"0.10","Sedan",3150
1037,"2024-02-15","Standard","C037","P037",3100,3,"0.08","SUV",2854
1038,"2024-02-16","Express","C038","P038",4200,1,"0.12","Coupe",3696
1039,"2024-02-17","Standard","C039","P039",3200,2,"0.10","Convertible",2880
1040,"2024-02-18","Express","C040","P040",3400,1,"0.15","Hatchback",2890
1041,"2024-02-19","Standard","C041","P041",5500,1,"0.20","Sedan",4400
1042,"2024-02-20","Express","C042","P042",3300,2,"0.12","SUV",2904
1043,"2024-02-21","Standard","C043","P043",3700,1,"0.18","Coupe",3034
1044,"2024-02-22","Express","C044","P044",4200,1,"0.20","Convertible",3360
1045,"2024-02-23","Standard","C045","P045",3000,2,"0.10","Hatchback",2700
